"group","score","n","mean","median","sd","iqr","skewness","kurtosis"
"female","math_score",518,63.6332046332046,65,15.4914532423395,20,-0.33103614287417,3.57065434609119
"female","reading_score",518,72.6081081081081,73,14.3782453032314,19.75,-0.420913713866532,3.28333372234224
"female","writing_score",518,72.4671814671815,74,14.8448417657508,18,-0.557584197681645,3.57915855754266
"male","math_score",482,68.7282157676349,69,14.3562771963624,20,-0.144817819155364,2.62537067970087
"male","reading_score",482,65.4730290456432,66,13.9318320637295,19,-0.170901580282002,2.79226944559418
"male","writing_score",482,63.3112033195021,64,14.1138318129791,20.75,-0.154434763393846,2.82722303235513
