"variable","label","n","mean","median","sd","min","max"
"preparedness_score","Preparedness Score",30,3.88958333333333,3.75,0.59103470175461,2.625,4.9375
"lecture_score","Lecture Score",30,66.7666666666667,67,14.3543417277415,39,100
