"program","n","mean_preparedness_score","median_preparedness_score","mean_lecture_score","lab_completion_rate"
"BSCS",15,3.94166666666667,3.8125,65.6,100
"BSDSA",15,3.8375,3.75,67.9333333333333,93.3333333333333
