"test","variable_x","variable_y","estimate","statistic","p_value","strength","recommended","decision"
"Pearson","preparedness_score","lecture_score",0.463766436069528,2.7699086141293,0.00984192612112955,"Moderate",TRUE,"Reject H0"
"Spearman","preparedness_score","lecture_score",0.446701710375977,2487.07581185998,0.0133374183153859,"Moderate",FALSE,"Reject H0"
